iter	Passed	Remaining
0	0	871
1	1	798
2	2	777
3	3	775
4	3	754
5	4	726
6	5	711
7	5	688
8	6	678
9	6	665
10	7	662
11	8	662
12	8	650
13	9	643
14	9	633
15	10	627
16	10	624
17	11	617
18	11	615
19	12	616
20	13	627
21	14	640
22	15	642
23	15	646
24	16	647
25	17	646
26	17	640
27	18	640
28	19	636
29	19	633
30	20	630
31	20	629
32	21	629
33	22	628
34	22	625
35	23	622
36	23	621
37	24	620
38	25	619
39	25	616
40	26	615
41	26	615
42	27	618
43	28	623
44	29	624
45	30	624
46	30	625
47	31	625
48	32	623
49	32	622
50	33	623
51	34	624
52	34	624
53	35	625
54	36	623
55	36	620
56	37	618
57	38	617
58	38	616
59	39	614
60	39	612
61	40	611
62	41	610
63	41	609
64	42	618
65	43	620
66	44	620
67	45	620
68	45	620
69	46	619
70	47	619
71	48	618
72	48	616
73	49	615
74	49	614
75	50	613
76	51	612
77	51	611
78	52	609
79	52	608
80	53	606
81	54	605
82	54	600
83	54	599
84	55	597
85	56	596
86	56	595
87	57	597
88	58	598
89	59	599
90	60	599
91	60	598
92	61	596
93	61	594
94	62	595
95	63	594
96	63	594
97	64	593
98	65	592
99	65	591
100	66	591
101	66	589
102	67	588
103	68	587
104	68	588
105	69	587
106	70	587
107	71	586
108	71	586
109	72	588
110	73	590
111	74	592
112	75	591
113	76	590
114	76	589
115	77	588
116	77	586
117	78	585
118	78	583
119	79	582
120	79	580
121	80	578
122	81	577
123	81	576
124	82	575
125	82	575
126	83	573
127	84	572
128	84	571
129	85	570
130	85	569
131	86	570
132	87	570
133	88	569
134	88	568
135	89	567
136	89	566
137	90	565
138	91	564
139	92	567
140	93	569
141	93	567
142	94	566
143	95	565
144	95	563
145	96	563
146	96	562
147	97	561
148	98	560
149	98	559
150	99	558
151	99	557
152	100	556
153	101	556
154	102	558
155	103	560
156	104	559
157	104	559
158	105	560
159	106	560
160	107	559
161	108	558
162	108	557
163	109	557
164	110	556
165	110	555
166	111	553
167	111	552
168	112	551
169	112	551
170	113	550
171	114	549
172	114	549
173	115	550
174	116	551
175	117	551
176	118	551
177	119	550
178	120	550
179	120	549
180	121	548
181	121	547
182	122	546
183	123	545
184	123	544
185	124	543
186	124	542
187	125	541
188	125	540
189	126	539
190	127	539
191	127	538
192	128	537
193	129	536
194	129	535
195	130	535
196	131	536
197	132	536
198	133	535
199	133	535
200	134	534
201	135	533
202	135	532
203	136	532
204	136	531
205	137	530
206	138	529
207	138	528
208	139	527
209	139	526
210	140	525
211	141	524
212	141	523
213	142	522
214	142	521
215	143	520
216	144	520
217	144	518
218	145	518
219	146	518
220	146	517
221	147	517
222	148	516
223	148	515
224	149	515
225	150	514
226	150	513
227	151	512
228	152	512
229	152	511
230	153	510
231	154	509
232	154	509
233	155	508
234	155	507
235	156	506
236	157	505
237	157	505
238	158	504
239	159	504
240	159	503
241	160	503
242	161	503
243	162	502
